date,title,url,body,locked
2013-06-08,Post PyCon 2013 MeetUp - Beginners Track,http://www.meetup.com/silicon-valley-python/events/107293322/,skip,False
2013-06-20,Post PyCon 2013 MeetUp - Normal Track,http://www.meetup.com/silicon-valley-python/events/119476152/,skip,False
