event,year,level,category,author,title,url,video
2013-06-20,2013,Intermediate,"Core Python (Language, Stdlib)",Larry Hastings,All-Singing All-Dancing Python Bytecode,https://us.pycon.org/2013/schedule/presentation/47/,http://pyvideo.org/video/1777/all-singing-all-dancing-python-bytecode
2013-06-08,2013,Novice,Best Practices/Patterns,Laurens Van Houtven,Crypto 101,https://us.pycon.org/2013/schedule/presentation/74/,http://pyvideo.org/video/1778/crypto-101
2013-06-20,2013,Intermediate,Web Frameworks,Jacob Kaplan-Moss,Porting Django apps to Python 3,https://us.pycon.org/2013/schedule/presentation/97/,http://pyvideo.org/video/1787/porting-django-apps-to-python-3
2013-06-20,2013,Intermediate,"Core Python (Language, Stdlib)",Raymond Hettinger,Python's Class Development Toolkit,https://us.pycon.org/2013/schedule/presentation/125/,http://pyvideo.org/video/1779/pythons-class-development-toolkit
2013-06-08,2013,Novice,Education,"Alexandra Strong, Christine Cheung",Lessons Learned in Teaching Python,https://us.pycon.org/2013/schedule/presentation/81/,http://pyvideo.org/video/1793/lessons-learned-in-teaching-python
2013-06-08,2013,Novice,Other,Robert Elwell,MTO On Blast: Using Python's Natural Language Toolkit to Model Gossip Blogs,https://us.pycon.org/2013/schedule/presentation/138/,http://pyvideo.org/video/1790/mto-on-blast-using-pythons-natural-language-too
2013-06-20,2013,Intermediate,"Core Python (Language, Stdlib)","Jim Baker, Shashank Bharadwaj",Integrating Jython with Java,https://us.pycon.org/2013/schedule/presentation/139/,http://pyvideo.org/video/1794/integrating-jython-with-java
2013-06-08,2013,Novice,Community,Brian Curtin,What is the Python Software Foundation?,https://us.pycon.org/2013/schedule/presentation/103/,http://pyvideo.org/video/1791/what-is-the-python-software-foundation
2013-06-08,2013,Novice,Useful Libraries,"Robert Kluin, Beau Lyddon",Asset Management in Python,https://us.pycon.org/2013/schedule/presentation/128/,http://pyvideo.org/video/1792/asset-management-in-python
2013-06-20,2013,Intermediate,Best Practices/Patterns,Doug Hellmann,Dynamic Code Patterns: Extending Your Applications with Plugins,https://us.pycon.org/2013/schedule/presentation/90/,http://pyvideo.org/category/33/pycon-us-2013
2013-06-08,2013,Novice,Other,Mirabai Knight,Plover: Thought to Text at 240 WPM,https://us.pycon.org/2013/schedule/presentation/36/,http://pyvideo.org/video/1706/plover-thought-to-text-at-240-wpm
2013-06-20,2013,Intermediate,"Core Python (Language, Stdlib)",Brett Cannon,How Import Works,https://us.pycon.org/2013/schedule/presentation/82/,http://pyvideo.org/video/1707/how-import-works
2013-06-20,2013,Intermediate,Distributed Computing,Ben Bangert,Distributed Coordination with Python,https://us.pycon.org/2013/schedule/presentation/66/,http://pyvideo.org/video/1708/distributed-coordination-with-python
2013-06-08,2013,Novice,Best Practices/Patterns,Luciano Ramalho,Iteration & Generators: the Python Way,https://us.pycon.org/2013/schedule/presentation/72/,http://pyvideo.org/video/1709/iteration-generators-the-python-way
